speno_yr,age_class,sex,data_source,daily_prop_ho,peak_ho_hr,doy,year,lat,lon,daylength,iceconc,air2m,rolling_temp,atdd,CM_index,EM_index
PH2005_5999_2005,Adult,Female,NOAA,59.58333333,-0.091338898,160,2005,70.86751051,-158.2065323,24,0.699999984,-0.022894287,-0.8494934,2,23,23
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,161,2005,70.86751051,-158.2065323,24,0.609999986,-0.270361328,-0.3002686,2,24,24
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,162,2005,70.86751051,-158.2065323,24,0.699999984,0.089837646,-0.7671875,2,25,25
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,163,2005,70.86751051,-158.2065323,24,0.629999986,-0.853063965,-0.4804749,2,26,26
PH2005_5999_2005,Adult,Female,NOAA,38.33333333,1.24841947,164,2005,70.86751051,-158.2065323,24,0.589999987,-0.177862549,-0.2681335,2,27,27
PH2005_5999_2005,Adult,Female,NOAA,30.83333333,-0.46033059,165,2005,70.86751051,-158.2065323,24,0.529999988,0.14486084,-1.152594,2,28,28
PH2005_5999_2005,Adult,Female,NOAA,66.25,0.111410184,166,2005,70.86751051,-158.2065323,24,0.509999989,0.064569092,-0.6835999,2,29,29
PH2005_6000_2005,Adult,Female,NOAA,62,-1.028289818,129,2005,70.763,-157.953,21.12943879,0.839999981,-4.537298584,-5.0495972,0,-8,-8
PH2005_6000_2005,Adult,Female,NOAA,NA,NA,130,2005,70.763,-157.953,21.4546551,0.829999981,-4.223364258,-3.3352417,0,-7,-7
PH2005_6000_2005,Adult,Female,NOAA,59.58333333,2.462223242,131,2005,70.763,-157.953,21.81990274,0.929999979,-4.088232422,-4.2605652,0,-6,-6
PH2005_6000_2005,Adult,Female,NOAA,8.375,0.00247255,132,2005,70.763,-157.953,22.25000661,0.809999982,-6.108679199,-3.1449646,0,-5,-5
PH2005_6000_2005,Adult,Female,NOAA,42.625,-1.65100875,133,2005,70.815,-158.205,22.96501789,0.869999981,-4.386053467,-0.7264465,0,-4,-4
PH2005_6000_2005,Adult,Female,NOAA,0,NA,134,2005,70.815,-158.205,24,0.939999979,-3.139685059,-0.8642029,0,-3,-3
PH2005_6000_2005,Adult,Female,NOAA,64.58333333,-2.9837858,135,2005,70.815,-158.205,24,0.949999979,-4.205847168,-1.2696289,0,-2,-2
PH2005_6000_2005,Adult,Female,NOAA,0,NA,136,2005,70.815,-158.205,24,0.999999978,-4.218054199,-2.0565552,0,-1,-1
PH2005_6000_2005,Adult,Female,NOAA,43.66666667,-2.175625635,137,2005,70.815,-158.205,24,0.949999979,-4.276190186,-2.7424683,0,0,0
PH2005_6000_2005,Adult,Female,NOAA,0,NA,138,2005,70.815,-158.205,24,0.89999998,-2.5199646,-2.3255066,0,1,1
PH2005_6000_2005,Adult,Female,NOAA,49.58333333,-1.675588804,139,2005,70.815,-158.205,24,0.789999982,-1.523321533,-2.1825317,0,2,2
PH2005_6000_2005,Adult,Female,NOAA,18.33333333,0.838339817,140,2005,70.815,-158.205,24,0.789999982,-1.293890381,0.1385742,0,3,3
PH2005_6000_2005,Adult,Female,NOAA,34.16666667,-0.771217363,141,2005,70.817,-158.24,24,0.769999983,-1.816503906,-1.0142578,0,4,4
PH2005_6000_2005,Adult,Female,NOAA,45.41666667,0.376991118,142,2005,70.817,-158.24,24,0.88999998,-2.236242676,-0.4916443,0,5,5
PH2005_6000_2005,Adult,Female,NOAA,28.75,-0.671951762,143,2005,70.817,-158.24,24,0.779999983,-2.476843262,-0.2028564,0,6,6
PH2005_6000_2005,Adult,Female,NOAA,54.58333333,0.499818665,144,2005,70.817,-158.24,24,0.709999984,-2.294256592,0.1015869,0,7,7
PH2005_6000_2005,Adult,Female,NOAA,31.25,0.935787367,145,2005,70.837,-158.197,24,0.669999985,-2.299719238,-0.645575,0,8,8
PH2005_6000_2005,Adult,Female,NOAA,50,0.793761199,146,2005,70.837,-158.197,24,0.689999985,-1.712988281,-0.962439,0,9,9
PH2005_6000_2005,Adult,Female,NOAA,47.625,0.688386946,147,2005,70.837,-158.197,24,0.709999984,-1.537695312,-1.30802,0,10,10
PH2005_6000_2005,Adult,Female,NOAA,61.25,0.209294066,148,2005,70.837,-158.197,24,0.679999985,-0.749456787,-1.5135254,1,11,11
PH2005_6000_2005,Adult,Female,NOAA,60.83333333,0.628391253,149,2005,70.83575033,-158.1822495,24,0.719999984,-0.476293945,-0.8351501,2,12,12
PH2005_6000_2005,Adult,Female,NOAA,32.08333333,0.873537291,150,2005,70.83575033,-158.1822495,24,0.619999986,0.023461914,-0.8356384,2,13,13
PH2005_6000_2005,Adult,Female,NOAA,52.08333333,0.395898852,151,2005,70.83575033,-158.1822495,24,0.699999984,-1.036199951,-1.0572266,2,14,14
PH2005_6000_2005,Adult,Female,NOAA,61.375,0.073376551,152,2005,70.81106931,-158.2343076,24,0.689999985,-1.392126465,-1.5688843,2,15,15
PH2005_6000_2005,Adult,Female,NOAA,77.91666667,0.49574623,153,2005,70.81106931,-158.2343076,24,0.789999982,-1.72208252,-0.7680115,2,16,16
PH2005_6000_2005,Adult,Female,NOAA,55.83333333,0.452622053,154,2005,70.81106931,-158.2343076,24,0.709999984,-0.544775391,-1.4916443,2,17,17
PH2005_6000_2005,Adult,Female,NOAA,61.66666667,0.294378867,155,2005,70.81106931,-158.2343076,24,0.749999983,-1.022650146,-0.8797363,2,18,18
PH2005_6000_2005,Adult,Female,NOAA,100,NA,156,2005,70.83661954,-158.1755271,24,0.749999983,-1.077825928,-1.1132874,2,19,19
PH2005_6000_2005,Adult,Female,NOAA,65,0.474438668,157,2005,70.83661954,-158.1755271,24,0.749999983,-1.143164062,-1.040564,2,20,20
PH2005_6000_2005,Adult,Female,NOAA,65,0.357865219,158,2005,70.83661954,-158.1755271,24,0.789999982,-1.256384277,-0.623175,2,21,21
PH2005_6000_2005,Adult,Female,NOAA,NA,NA,159,2005,70.83661954,-158.1755271,24,0.709999984,-0.455511475,-0.8551392,2,22,22
PH2005_6000_2005,Adult,Female,NOAA,78.58333333,1.060942019,160,2005,70.838,-158.123,24,0.699999984,-0.022894287,-0.8494934,2,23,23
PH2005_6000_2005,Adult,Female,NOAA,28.75,-0.506436371,161,2005,70.838,-158.123,24,0.609999986,-0.270361328,-0.3002686,2,24,24
PH2005_6000_2005,Adult,Female,NOAA,100,NA,162,2005,70.838,-158.123,24,0.699999984,0.089837646,-0.7671875,2,25,25
PH2005_6000_2005,Adult,Female,NOAA,30.83333333,0.64708082,163,2005,70.838,-158.123,24,0.629999986,-0.853063965,-0.4804749,2,26,26
